FIPS,COUNTY,STATE,POP,VETS,VET_PERCENT,CASES,YESTER_CASES,VET_CASES,VET_YESTER,LOWER_Hospitalizations,UPPER_Hospitalizations,DATE
01001,Autauga,Alabama,55869.0,5703.189465596,0.1020814667453507,7329.0,7320.0,748.1550697766752,747.2363365759671,69.84440148921958,142.4367873060531,7-15-2021
01003,Baldwin,Alabama,223234.0,19665.803702160003,0.0880950200335074,22556.0,22464.0,1987.071271875793,1978.9665300327104,229.66915621884414,432.12855100895194,
01005,Barbour,Alabama,24686.0,1848.8450777059,0.0748944777487604,2377.0,2373.0,178.02417360880347,177.72459569780844,19.803394130022156,38.357358529308314,
01007,Bibb,Alabama,22394.0,1264.8598145251,0.0564820851355318,2713.0,2708.0,153.2358969726978,152.95348654702013,15.195914072417317,29.334882438317294,
01009,Blount,Alabama,57826.0,3703.698806037,0.0640490230352609,7059.0,7055.0,452.12205360590673,451.86585751376566,53.99469055178446,102.03835294961083,
01011,Bullock,Alabama,10101.0,419.3391609366,0.0415146184473418,1251.0,1250.0,51.93478767762459,51.89327305917725,5.002308601723941,10.028527700838254,
01013,Butler,Alabama,19448.0,1412.4003802579,0.0726244539416855,2289.0,2288.0,166.23737507251812,166.16475061857642,14.883052647314175,29.88646974428695,
01015,Calhoun,Alabama,113605.0,9768.33263078,0.0859850590271554,14863.0,14861.0,1277.9959323206108,1277.8239622025565,125.8650453058373,249.80112568363796,
01017,Chambers,Alabama,33254.0,2290.69418778,0.0688847713893065,3776.0,3773.0,260.10889676602136,259.90224245185345,32.3846193753543,60.78246755751928,
01019,Cherokee,Alabama,26196.0,1954.813616878,0.0746225995143533,1899.0,1898.0,141.7083164777569,141.63369387824255,19.188537887337926,34.697618711809206,
01021,Chilton,Alabama,44428.0,2824.7485251987,0.0635803665525952,4540.0,4532.0,288.6548641487822,288.1462212163615,34.403916321710874,65.21151093319502,
01023,Choctaw,Alabama,12589.0,769.8413347249999,0.0611519052128842,627.0,627.0,38.34224456847839,38.34224456847839,3.0722937434558886,6.306575720263149,
01025,Clarke,Alabama,23622.0,1461.2946420952,0.0618615969052239,3571.0,3559.0,220.90776254855456,220.16542338569187,21.817369056714384,43.77587351072469,
01027,Clay,Alabama,13235.0,941.71537498,0.0711534095187004,1610.0,1610.0,114.55698932510765,114.55698932510765,10.387412218059168,20.41324573986467,
01029,Cleburne,Alabama,14910.0,845.7093669422001,0.0567209501637961,1555.0,1555.0,88.20107750470294,88.20107750470294,8.584656207358531,16.76107775826157,
01031,Coffee,Alabama,52342.0,6703.924473868801,0.128079257075939,5826.0,5794.0,746.1897517244206,742.0912154979906,65.15624344633764,137.10427861872824,
01033,Colbert,Alabama,55241.0,3838.392887917,0.0694844931829076,6481.0,6473.0,450.32900031842416,449.7731243729609,52.884859754261996,100.88921039996052,
01035,Conecuh,Alabama,12067.0,829.3986135355,0.0687327930335211,1165.0,1161.0,80.07370388405208,79.798772711918,6.349571198047663,13.160545170347783,
01037,Coosa,Alabama,10663.0,865.1693724999999,0.0811375196942699,1130.0,1130.0,91.68539725452499,91.68539725452499,7.8270763245636745,15.283716421152612,
01039,Covington,Alabama,37049.0,3126.143622977,0.0843786235249804,4414.0,4401.0,372.4472442392635,371.3503221334388,52.04989200005207,96.52054176331245,
01041,Crenshaw,Alabama,13772.0,1011.754869487,0.0734646289200551,1613.0,1610.0,118.49844644804888,118.27805256128872,10.948346624671764,21.820502742480876,
01043,Cullman,Alabama,83768.0,6329.6935268180005,0.0755621899390937,10098.0,10081.0,763.0269940049682,761.7424367760035,93.50507719904313,176.35515202388814,
01045,Dale,Alabama,49172.0,6538.74811387,0.1329770624312617,5078.0,5067.0,675.257523025947,673.794775339203,61.85355347266864,127.83876796372012,
01047,Dallas,Alabama,37196.0,2440.3908978050003,0.0656089605819174,3649.0,3645.0,239.40709716341658,239.1446613210889,25.30265918061317,50.80858701550181,
01049,DeKalb,Alabama,71513.0,3421.285063779,0.0478414423080978,9092.0,9082.0,434.9743934652252,434.49597904214426,49.448396874583686,94.99032339466224,
01051,Elmore,Alabama,81209.0,7356.383123812299,0.0905858109792301,10445.0,10429.0,946.1687956780585,944.7194227023907,87.61032505099739,180.3094121048361,
01053,Escambia,Alabama,36633.0,2411.352242244,0.0658245910038489,4080.0,4067.0,268.5643312957035,267.70861161265344,30.453171589481176,59.02757879514853,
01055,Etowah,Alabama,102268.0,7185.66084257,0.0702630426190988,14351.0,14336.0,1008.3449246266869,1007.2909789874004,116.92773580476164,223.41465025777097,
01057,Fayette,Alabama,16302.0,1248.4253347925,0.0765811148811495,2213.0,2213.0,169.47400723198385,169.47400723198385,15.846220410970739,31.156806592295165,
01059,Franklin,Alabama,31362.0,1249.362759913,0.0398368331073592,4347.0,4344.0,173.17071351769044,173.05120301836837,17.400000491793364,34.24958242753226,
01061,Geneva,Alabama,26271.0,2291.272115903,0.087216783369609,2630.0,2628.0,229.38014026207168,229.20570669533245,24.40778624786124,47.762626460632106,
01063,Greene,Alabama,8111.0,413.0443802428,0.0509239773446923,944.0,944.0,48.072234613389526,48.072234613389526,3.594781206688341,7.7630254755847465,
01065,Hale,Alabama,14651.0,826.7114088482,0.0564269612209542,2292.0,2291.0,129.33059511842703,129.27416815720608,10.974705292891104,22.746438529383187,
01067,Henry,Alabama,17205.0,1275.4758060169002,0.0741340195301889,1992.0,1986.0,147.67496690413628,147.23016278695516,12.095380336541798,24.698589400923126,
