FIPS,COUNTY,STATE,AGEGROUP,CASES
01101,Montgomery,Alabama,65+ years,2257
01103,Morgan,Alabama,0 - 17 years,984
01103,Morgan,Alabama,18 to 49 years,4280
01103,Morgan,Alabama,50 to 64 years,1838
01103,Morgan,Alabama,65+ years,1395
01109,Pike,Alabama,0 - 17 years,196
01109,Pike,Alabama,18 to 49 years,1039
01109,Pike,Alabama,50 to 64 years,302
01109,Pike,Alabama,65+ years,313
01111,Randolph,Alabama,0 - 17 years,82
01111,Randolph,Alabama,18 to 49 years,464
01111,Randolph,Alabama,50 to 64 years,237
01111,Randolph,Alabama,65+ years,238
01113,Russell,Alabama,0 - 17 years,318
01113,Russell,Alabama,18 to 49 years,1636
01113,Russell,Alabama,50 to 64 years,637
01113,Russell,Alabama,65+ years,511
01115,St. Clair,Alabama,0 - 17 years,778
01115,St. Clair,Alabama,18 to 49 years,2489
01115,St. Clair,Alabama,50 to 64 years,1234
01115,St. Clair,Alabama,65+ years,1005
01117,Shelby,Alabama,0 - 17 years,2295
01117,Shelby,Alabama,18 to 49 years,7366
01117,Shelby,Alabama,50 to 64 years,2662
01117,Shelby,Alabama,65+ years,1613
01121,Talladega,Alabama,0 - 17 years,547
01121,Talladega,Alabama,18 to 49 years,2134
01121,Talladega,Alabama,50 to 64 years,1053
01121,Talladega,Alabama,65+ years,842
01123,Tallapoosa,Alabama,0 - 17 years,213
01123,Tallapoosa,Alabama,18 to 49 years,937
01123,Tallapoosa,Alabama,50 to 64 years,542
01123,Tallapoosa,Alabama,65+ years,615
01125,Tuscaloosa,Alabama,0 - 17 years,1633
01125,Tuscaloosa,Alabama,18 to 49 years,9665
01125,Tuscaloosa,Alabama,50 to 64 years,2613
01125,Tuscaloosa,Alabama,65+ years,2090
01127,Walker,Alabama,0 - 17 years,433
01127,Walker,Alabama,18 to 49 years,2030
01127,Walker,Alabama,50 to 64 years,1009
01127,Walker,Alabama,65+ years,1090
01133,Winston,Alabama,0 - 17 years,135
01133,Winston,Alabama,18 to 49 years,678
01133,Winston,Alabama,50 to 64 years,363
01133,Winston,Alabama,65+ years,331
02020,Anchorage,Alaska,0 - 17 years,3936
02020,Anchorage,Alaska,18 to 49 years,15806
02020,Anchorage,Alaska,50 to 64 years,4913
02020,Anchorage,Alaska,65+ years,2460
02090,Fairbanks North Star,Alaska,0 - 17 years,782
02090,Fairbanks North Star,Alaska,18 to 49 years,4045
02090,Fairbanks North Star,Alaska,50 to 64 years,1010
02090,Fairbanks North Star,Alaska,65+ years,517
02110,Juneau,Alaska,0 - 17 years,139
02110,Juneau,Alaska,18 to 49 years,611
02110,Juneau,Alaska,50 to 64 years,209
02110,Juneau,Alaska,65+ years,90
02122,Kenai Peninsula,Alaska,0 - 17 years,320
02122,Kenai Peninsula,Alaska,18 to 49 years,2021
02122,Kenai Peninsula,Alaska,50 to 64 years,834
02122,Kenai Peninsula,Alaska,65+ years,549
02170,Matanuska-Susitna,Alaska,0 - 17 years,1435
02170,Matanuska-Susitna,Alaska,18 to 49 years,5314
02170,Matanuska-Susitna,Alaska,50 to 64 years,1762
02170,Matanuska-Susitna,Alaska,65+ years,775
04001,Apache,Arizona,0 - 17 years,1761
04001,Apache,Arizona,18 to 49 years,4991
04001,Apache,Arizona,50 to 64 years,2218
04001,Apache,Arizona,65+ years,1611
04003,Cochise,Arizona,0 - 17 years,1388
04003,Cochise,Arizona,18 to 49 years,5861
04003,Cochise,Arizona,50 to 64 years,2215
04003,Cochise,Arizona,65+ years,1896
